trial_lag,cross_correlation,cross_correlation_sem
-50,0.12004485126453546,0.2620539988605691
-49,-0.1974023788079605,0.26326280901752397
-48,-0.5501193488001705,0.26441342667246054
-47,-0.8969201542504618,0.2656250094373824
-46,-1.2790770051913969,0.26680735341088146
-45,-1.6317972972271537,0.2679445193308305
-44,-2.1104806446105084,0.2688629125274558
-43,-2.616279230154341,0.269979311419716
-42,-3.126927518714909,0.2713267655061753
-41,-3.6863031986249055,0.2725960901784164
-40,-4.308403289001215,0.2736524742125615
-39,-5.028989811517597,0.2744757948670471
-38,-5.751594509300376,0.275187379940662
-37,-6.463885637120443,0.27588172779136855
-36,-7.157874929645795,0.27651356630046875
-35,-7.8779259163308755,0.2772280079493976
-34,-8.644308230025743,0.2780389967261787
-33,-9.365817456218776,0.27884643078282845
-32,-10.081168713738085,0.2793328214905219
-31,-10.790417714589958,0.2798690926714091
-30,-11.514961412256843,0.2804289747587849
-29,-12.230110156378782,0.28105042043642814
-28,-12.965805281112775,0.28140975268117896
-27,-13.653837511796784,0.2819655965927906
-26,-14.294821267109924,0.2826655109045097
-25,-14.943585127014803,0.2831480511468703
-24,-15.567439840249529,0.2839122922053051
-23,-16.225187489078497,0.28492817310490576
-22,-16.947827441988714,0.28611593028599347
-21,-17.58726948211029,0.28758681826582844
-20,-18.270930102366496,0.2892109337942167
-19,-18.945537654674116,0.2909220398783949
-18,-19.661626171791593,0.2929312190964309
-17,-20.39021036815077,0.2950255530711112
-16,-21.30075791196457,0.29740009212271984
-15,-22.254643176640243,0.29991305485718317
-14,-23.190061788572702,0.3026285216681181
-13,-24.11356551930457,0.3052123897726258
-12,-24.988828692613154,0.3077751293137373
-11,-25.86323703150458,0.3103428126385161
-10,-26.769275252206043,0.31256189492614417
-9,-27.660628265397158,0.3149325274444285
-8,-28.439934911066505,0.31681636222803994
-7,-29.141419292285097,0.3185089679152498
-6,-29.774769178156042,0.3200367699694551
-5,-30.36351398240142,0.3216132229296588
-4,-30.977951302919703,0.323423935066445
-3,-31.550579092425462,0.3252339094450964
-2,-32.112681783891055,0.32748730224646905
-1,-32.67323762433055,0.32947035797086427
0,-33.09761037299916,0.3306535913405238
1,-32.67753942302948,0.3274708772676367
2,-32.1594231256955,0.3239822624952934
3,-31.647450085183596,0.3208776638915531
4,-31.10417236618132,0.3177590849528337
5,-30.48824176217153,0.31447418510270975
6,-29.759051937645488,0.31134186548083564
7,-29.004209173115044,0.30852304108225537
8,-28.23714754904205,0.30590008091709653
9,-27.4009855857945,0.30315656656562207
10,-26.59658494536226,0.3006785429974717
11,-25.855347603573865,0.29873806207537346
12,-25.09054151952619,0.297180541733752
13,-24.421481123704215,0.2959533165263696
14,-23.78118791710662,0.2947048374634663
15,-23.20741188542679,0.2934207696489853
16,-22.683637847496506,0.2920263401026366
17,-22.284761060080758,0.2906915479646118
18,-21.860975003138776,0.2892633975944991
19,-21.409668547480912,0.28792931077272793
20,-20.92219161953047,0.28679564565064386
21,-20.375381368850093,0.28540925883311985
22,-19.835461690574785,0.28403987746525833
23,-19.221269444622255,0.28255869458945776
24,-18.62617692636965,0.28125398597917095
25,-18.09315704445493,0.2799977465556687
26,-17.596656315470373,0.27871983068230827
27,-17.15994415289883,0.27764420143353474
28,-16.668801372991062,0.27648972517702525
29,-16.157456638010327,0.2755567021059398
30,-15.591657517956452,0.27435778034910896
31,-15.046423659368116,0.272868004090409
32,-14.468760924428532,0.2714942929397595
33,-13.842754861319515,0.2701510141971459
34,-13.249964144196252,0.26899614904366864
35,-12.648021158179114,0.2676883647988739
36,-11.966458742500768,0.2664109265092258
37,-11.18854502008187,0.2650118175012999
38,-10.385075476681923,0.26345313050973823
39,-9.609514610596978,0.2620597091964076
40,-8.928862704481757,0.26060491300503535
41,-8.26453179895434,0.2594535333660745
42,-7.654959739540655,0.2583655102561803
43,-7.0785789040515,0.2569989107174718
44,-6.612675866867854,0.25566687790234155
45,-6.18773329975158,0.25407336942702685
46,-5.841309825981648,0.25272267704148
47,-5.506627781342058,0.25143962120145164
48,-5.196126415122967,0.2505980733127406
49,-5.002925718339765,0.2500163239934218
50,-4.895366639322566,0.24938108205357917
