leftP,rightP,trial_response_side,trial_reward,cue_time,reward_time
0.05,0.85,-1.0,0.0,33.3739,
0.05,0.85,-1.0,0.0,38.9777,
0.05,0.85,,,47.0088,
0.05,0.85,1.0,1.0,55.1165,55.8953
0.05,0.85,,,58.57525,
0.05,0.85,,,66.6852,
0.05,0.85,,,74.78525,
0.05,0.85,,,82.8883,
0.05,0.85,1.0,1.0,90.9994,92.1213
0.05,0.85,1.0,1.0,94.19535,99.6129
0.05,0.85,,,104.67285,
0.05,0.85,-1.0,0.0,112.7864,
0.05,0.85,,,115.96575,
0.05,0.85,-1.0,0.0,124.0668,
0.05,0.85,1.0,0.0,133.36355,
0.05,0.85,-1.0,0.0,136.91075,
0.05,0.85,1.0,1.0,140.98585,144.04155
0.05,0.85,-1.0,0.0,146.51505,
0.05,0.85,-1.0,0.0,149.5397,
0.05,0.85,-1.0,0.0,151.75485,
0.05,0.85,,,157.24195,
0.05,0.85,,,166.1049,
0.05,0.85,-1.0,0.0,174.2065,
0.05,0.85,,,177.8845,
0.05,0.85,,,185.9927,
0.05,0.85,-1.0,0.0,194.0936,
0.05,0.85,,,201.99085,
0.05,0.85,,,210.0928,
0.05,0.85,-1.0,0.0,218.19635,
0.05,0.85,-1.0,0.0,224.34365,
0.05,0.85,-1.0,0.0,227.85315,
0.05,0.85,-1.0,0.0,236.5045,
0.05,0.85,-1.0,0.0,241.4985,
0.05,0.85,-1.0,1.0,248.73485,254.82685
0.05,0.85,-1.0,0.0,258.5304,
0.05,0.85,1.0,1.0,264.84385,265.3285
0.05,0.85,1.0,1.0,269.9946,270.27125
0.05,0.85,1.0,1.0,274.43175,274.5793
0.05,0.85,1.0,1.0,278.4817,279.16595
0.05,0.85,1.0,1.0,284.03865,284.8664
0.05,0.85,1.0,1.0,288.9025,289.74405
0.05,0.85,1.0,1.0,291.819,292.06235
0.05,0.85,1.0,1.0,296.17325,296.6544
0.05,0.85,1.0,0.0,298.92835,
0.05,0.85,1.0,0.0,301.73345,
0.05,0.85,1.0,1.0,304.3723,304.53085
0.05,0.85,1.0,1.0,308.32355,308.6766
0.05,0.85,1.0,1.0,311.05215,311.1858
0.05,0.85,1.0,1.0,315.0503,315.4931
0.05,0.85,1.0,1.0,318.25465,318.51185
0.05,0.85,1.0,0.0,323.34075,
0.05,0.85,1.0,1.0,326.0943,326.53715
0.05,0.85,1.0,1.0,329.8455,330.12275
0.05,0.85,1.0,1.0,334.86885,335.68065
0.05,0.85,1.0,1.0,337.75655,338.1356
0.05,0.85,1.0,0.0,340.5082,
0.05,0.85,1.0,1.0,343.19595,343.75965
0.05,0.85,1.0,1.0,347.3895,347.7545
0.05,0.85,1.0,1.0,349.8279,350.0712
0.05,0.85,1.0,0.0,355.45565,
0.05,0.85,1.0,1.0,358.08955,358.52405
0.05,0.85,1.0,1.0,361.73635,363.22085
0.05,0.85,1.0,1.0,367.2774,367.67095
0.05,0.85,1.0,1.0,370.82885,371.22415
0.05,0.85,1.0,1.0,373.29755,373.4222
0.05,0.85,-1.0,0.0,381.02115,
0.05,0.85,1.0,1.0,387.98435,393.4171
0.05,0.85,1.0,1.0,396.3173,396.7281
0.05,0.85,1.0,1.0,399.86165,400.689
0.05,0.85,1.0,1.0,404.3241,404.5873
0.05,0.85,1.0,1.0,408.8927,409.16645
0.05,0.85,1.0,1.0,413.0789,413.4268
0.05,0.85,1.0,1.0,418.05575,418.525
0.05,0.85,1.0,1.0,422.264,424.22925
0.05,0.85,1.0,1.0,428.2972,428.60835
